id_municipio,Municipio,muni_clean,provincia,poblacion,censo,1_avance,particip_1_avance,2_avance,particip_2_avance,total_votantes,particip_total,v_nulos,votos_validos,v_blanco,total_votos_candid,ganador,por_ganador,segundo,por_segundo,PSOE,PP,Cs,Podemos,VOX,UPL,XAV,Otros,psoe_por,pp_por,cs_por,podemos_por,vox_por,upl_por,xav_por,otros_por
05208,SAN ESTEBAN DE ZAPARDIEL,San Esteban de Zapardiel,Ávila,45,38,26,"68,4",27,"71,1",35,"92,1",0,35,0,35,PP,"37,1",PSOE,"31,4",11,13,2,0,7,0,1,1,"31,4","37,1","5,7","0,0","20,0","0,0","2,9","2,9"
05209,SAN GARCÍA DE INGELMOS,San García de Ingelmos,Ávila,71,74,43,"58,1",54,"73,0",62,"83,8",0,62,0,62,PP,"56,5",PSOE,"30,6",19,35,5,0,2,0,1,0,"30,6","56,5","8,1","0,0","3,2","0,0","1,6","0,0"
05210,SAN JUAN DE LA ENCINILLA,San Juan de la Encinilla,Ávila,74,82,38,"46,3",51,"62,2",61,"74,4",0,61,1,60,XAV,"41,0",PP,"31,1",3,19,8,1,2,0,25,2,"4,9","31,1","13,1","1,6","3,3","0,0","41,0","3,3"
05211,SAN JUAN DE LA NAVA,San Juan de la Nava,Ávila,466,432,251,"58,1",344,"79,6",389,"90,0",2,387,2,385,PP,"56,3",PSOE,"28,7",111,218,34,7,10,0,3,2,"28,7","56,3","8,8","1,8","2,6","0,0","0,8","0,5"
05212,SAN JUAN DEL MOLINILLO,San Juan del Molinillo,Ávila,206,196,64,"32,7",110,"56,1",159,"81,1",0,159,2,157,PP,"35,2",PSOE,"34,0",54,56,21,0,5,0,18,3,"34,0","35,2","13,2","0,0","3,1","0,0","11,3","1,9"
05213,SAN JUAN DEL OLMO,San Juan del Olmo,Ávila,85,95,44,"46,3",67,"70,5",78,"82,1",1,77,0,77,PP,"61,0",PSOE,"19,5",15,47,6,0,2,0,5,2,"19,5","61,0","7,8","0,0","2,6","0,0","6,5","2,6"
05214,SAN LORENZO DE TORMES,San Lorenzo de Tormes,Ávila,33,27,11,"40,7",12,"44,4",22,"81,5",0,22,0,22,PP,"59,1",Cs,"18,2",3,13,4,0,1,0,0,1,"13,6","59,1","18,2","0,0","4,5","0,0","0,0","4,5"
05215,SAN MARTIN DE LA VEGA DEL ALBERCHE,San Martín de la Vega del Alberche,Ávila,163,155,53,"34,2",85,"54,8",122,"78,7",1,121,1,120,PP,"53,7",PSOE,"26,4",32,65,10,7,2,0,1,3,"26,4","53,7","8,3","5,8","1,7","0,0","0,8","2,5"
05216,SAN MARTÍN DEL PIMPOLLAR,San Martín del Pimpollar,Ávila,188,213,85,"39,9",144,"67,6",170,"79,8",3,167,2,165,PP,"49,7",PSOE,"19,2",32,83,24,9,9,0,7,1,"19,2","49,7","14,4","5,4","5,4","0,0","4,2","0,6"
05217,SAN MIGUEL DE CORNEJA,San Miguel de Corneja,Ávila,53,54,25,"46,3",27,"50,0",46,"85,2",1,45,0,45,PP,"55,6",PSOE,"20,0",9,25,3,3,2,0,1,2,"20,0","55,6","6,7","6,7","4,4","0,0","2,2","4,4"
05218,SAN MIGUEL DE SERREZUELA,San Miguel de Serrezuela,Ávila,112,103,49,"47,6",69,"67,0",89,"86,4",1,88,1,87,PP,"50,0",PSOE,"27,3",24,44,8,2,7,0,0,2,"27,3","50,0","9,1","2,3","8,0","0,0","0,0","2,3"
05219,SAN PASCUAL,San Pascual,Ávila,43,36,19,"52,8",24,"66,7",32,"88,9",1,31,0,31,PSOE,"35,5",VOX,"25,8",11,7,1,1,8,0,2,1,"35,5","22,6","3,2","3,2","25,8","0,0","6,5","3,2"
05220,SAN PEDRO DEL ARROYO,San Pedro del Arroyo,Ávila,445,365,182,"49,9",267,"73,2",338,"92,6",3,335,5,330,PP,"52,8",PSOE,"21,2",71,177,36,7,18,0,14,7,"21,2","52,8","10,7","2,1","5,4","0,0","4,2","2,1"
05221,SANTA CRUZ DEL VALLE,Santa Cruz del Valle,Ávila,324,325,126,"38,8",236,"72,6",262,"80,6",3,259,1,258,PSOE,"30,1",PP,"27,4",78,71,39,36,10,0,4,20,"30,1","27,4","15,1","13,9","3,9","0,0","1,5","7,7"
05222,SANTA CRUZ DE PINARES,Santa Cruz de Pinares,Ávila,162,150,68,"45,3",102,"68,0",129,"86,0",0,129,1,128,PP,"44,2",PSOE,"19,4",25,57,15,4,15,0,10,2,"19,4","44,2","11,6","3,1","11,6","0,0","7,8","1,6"
05224,SANTA MARIA DEL ARROYO,Santa María del Arroyo,Ávila,105,100,51,"51,0",82,"82,0",93,"93,0",1,92,2,90,PP,"44,6",XAV,"15,2",11,41,12,0,9,0,14,3,"12,0","44,6","13,0","0,0","9,8","0,0","15,2","3,3"
05225,SANTA MARIA DEL BERROCAL,Santa María del Berrocal,Ávila,373,353,190,"53,8",249,"70,5",294,"83,3",4,290,5,285,PP,"51,0",PSOE,"27,9",81,148,34,5,9,0,0,8,"27,9","51,0","11,7","1,7","3,1","0,0","0,0","2,8"
05226,SANTA MARÍA DE LOS CABALLEROS,Santa María de los Caballeros,Ávila,66,67,32,"47,8",40,"59,7",53,"79,1",0,53,0,53,PP,"75,5",PSOE,"9,4",5,40,5,2,1,0,0,0,"9,4","75,5","9,4","3,8","1,9","0,0","0,0","0,0"
